bin,lowbound,highbound,totaal_aantal,totaal_percent,redeneren_aantal,redeneren_percent,begrippenkennis_aantal,begrippenkennis_percent,vaardigheden_aantal,vaardigheden_percent,ruimtelijkinzicht_aantal,ruimtelijkinzicht_percent,modellerenencombineren_aantal,modellerenencombineren_percent,eenster_aantal,eenster_percent,tweesterren_aantal,tweesterren_percent,driesterren_aantal,driesterren_percent,viersterren_aantal,viersterren_percent
-30+,-30,-20,0,0,4,0.011494253,5,0.014367816,0,0,6,0.017241379,1,0.002873563,0,0,0,0,10,0.028735632,4,0.011494253
-20+,-20,-10,0,0,5,,0,0,0,0,1,0.002873563,0,0,0,0,1,0.002873563,14,0.040229885,12,0.034482759
-10+,-10,0,0,0,0,0,16,0.045977011,1,0.002873563,1,0.002873563,7,0.020114943,1,0.002873563,6,0.017241379,29,0.083333333,125,0.359195402
0+,0,10,2,0.005747126,0,0,20,0.057471264,3,0.00862069,2,0.005747126,18,0.051724138,2,0.005747126,6,0.017241379,35,0.100574713,73,0.209770115
10+,10,20,9,0.025862069,0,0,37,0.106321839,9,0.025862069,0,0,39,0.112068966,0,0,12,0.034482759,21,0.060344828,51,0.146551724
20+,20,30,25,0.07183908,131,0.376436782,20,0.057471264,19,0.054597701,62,0.17816092,55,0.158045977,9,0.025862069,27,0.077586207,67,0.192528736,34,0.097701149
30+,30,40,48,0.137931034,16,0.045977011,71,0.204022989,16,0.045977011,2,0.005747126,63,0.181034483,4,0.011494253,31,0.08908046,20,0.057471264,21,0.060344828
40+,40,50,79,0.227011494,0,0,25,0.07183908,23,0.066091954,0,0,62,0.17816092,7,0.020114943,51,0.146551724,60,0.172413793,14,0.040229885
50+,50,60,77,0.221264368,0,0,24,0.068965517,65,0.186781609,0,0,52,0.149425287,36,0.103448276,61,0.175287356,33,0.094827586,9,0.025862069
60+,60,70,62,0.17816092,104,0.298850575,70,0.201149425,37,0.106321839,155,0.445402299,29,0.083333333,50,0.143678161,21,0.060344828,27,0.077586207,4,0.011494253
70+,70,80,31,0.08908046,48,0.137931034,24,0.068965517,56,0.16091954,16,0.045977011,14,0.040229885,33,0.094827586,43,0.123563218,21,0.060344828,0,0
80+,80,90,11,0.031609195,0,0,21,0.060344828,43,0.123563218,0,0,5,0.014367816,95,0.272988506,58,0.166666667,7,0.020114943,1,0.002873563
90+,90,100,2,0.005747126,40,0.114942529,15,0.043103448,76,0.218390805,103,0.295977011,3,0.00862069,111,0.318965517,31,0.08908046,4,0.011494253,0,0